
============================================================
Running: ocrbench | thinking=False | mode=none
Model: kimi/Qwen/Qwen3.5-27B
max_tokens=8192, max_connections=100, epochs=1
temperature=None, top_p=None
stream=True, extra_body={}
============================================================

[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=8505b025): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=3971ad5c): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=c1a80efd): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=50cf1f0b): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=72ec8462): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=b8e6767a): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=8b5ed60b): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=c3a95c37): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=6c9c19fe): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=3f912844): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=0821c513): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=6008fa5a): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=ffa04d19): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=21cc712c): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=539af6ed): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=abf912e6): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=5204316d): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=d2f624da): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=8339001d): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=899133bc): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=b8625933): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=5f9b743c): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=7bdf1ed5): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=eb297743): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=456a90b8): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=2a3f390f): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=3949e810): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=f643a67e): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=6c92484a): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=cc55fb93): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=18fb37dc): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=b4caa023): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=ac203023): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=eca5efa8): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=4c1182de): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=6df87b60): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=1816b77e): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=629795c1): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=e3e81d09): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=ce828eae): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=2f4dbc34): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=3d4097e5): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=294b1137): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=aca2f36e): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=dff37e96): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=faf1bba9): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=9581189a): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=50a09cdd): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=d86833e4): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=aef91a03): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=3fbd8cba): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=5d4f5d1a): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=de6cd7d4): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=035329d1): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=9ec89d4b): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=a2b145bc): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=fe595b69): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=4b5d5092): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=188e0b4d): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=f0bb55bb): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=68e710d2): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=5d5e6996): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=10212342): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=ba878b59): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=2f01cbcf): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=cbbba3e6): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=481c959d): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=38d90d08): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=f6b119ee): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=a11e6827): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=f69e6b2b): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=df7e33f3): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=5b730dbf): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=7f8b7883): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=c0675fb2): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=5ed0eb51): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=a9c77659): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=e917fe9d): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=3ae13968): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=5dd4259d): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=ab422fa4): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=9a9fa947): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=64564362): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=215d782e): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=64668fc9): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=9255f563): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=84cad762): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=5723b494): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=54c3db2e): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=2d73c99b): Connection error.
[RETRY] APIConnectionError (model=Qwen/Qwen3.5-27B, span=670b9900): Connection error.
